city,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Munich,30.504684011514637,51.75003290646184,66.51252149416155,76.75508817762464,83.85536448467622,88.77536521179637,92.18452705454645,94.54760979996195,96.18673585103676,97.32493214187046,98.11650418438104,98.66814670909109,99.0536284508497,99.32394052635959
Zurich,29.57175680449459,50.24019218078748,64.6682656948093,74.73980850077506,81.77752444843829,86.70575445541012,90.16815563441531,92.61201119520989,94.34764144317306,95.59017868586734,96.48877089820846,97.14672691673667,97.63569879616979,98.0053705279899
Montpellier,26.440939554412008,45.16982007179212,58.470582540676475,67.9620028891207,74.78335828364807,79.7328341596314,83.36776570858505,86.07686754873593,88.13085569617894,89.718395267584,90.97105438741721,91.98089256378407,92.81228017944744,93.51063703783194
Barcelona,30.492638926316218,51.73054980086368,66.48875166629928,76.72914712023388,83.828668363215,88.74882454989117,92.15873290955119,94.52292258040961,96.16336429566381,97.30298648922609,98.09602030151078,98.64912016715502,99.03603105333063,99.30772190017666
Lyon,29.821371354032905,50.64431880734119,65.16208772681583,75.2795953022228,82.33427212279327,87.26053103725955,90.70894005787632,93.1314307488717,94.84150821073351,96.05643129595151,96.92666087913904,97.55648544542677,98.01808981206761,98.36152280612684
Geneva,30.46345848584685,51.68337348498395,66.43118181515771,76.66631188995005,83.76397712298423,88.68450600321171,92.09620421409294,94.46305077128942,96.10665004512448,97.24968168070292,98.0462143076827,98.60281092707666,98.99313487082792,99.26812229325024
Alsance,28.522324134574777,48.54104563788923,62.59193793999314,72.46975041137192,79.43568012168659,84.37165031043072,87.8924601488585,90.4256424866705,92.26828704519264,93.62675113992745,94.64425491236723,95.42031933698559,96.0241247591208,96.50400657385603
Avignon,20.619764446970244,35.72642209924622,46.90795017792764,55.295290117835414,61.69024806088485,66.65764304736909,70.59517091492381,73.78270526851874,76.41741753010848,78.63825528832503,80.54423993965257,82.20553030225327,83.67289361247404,84.98309170191428
Pyrenees,8.337219309916842,15.470605460238568,21.68888526155161,27.201638589477188,32.16008591226896,36.67446651048743,40.82418061393175,44.66757875025446,48.24609517135284,51.59133155626555,54.726458679574506,57.67009967290344,60.43601400520131,63.036408150894694
Ceveness,6.197534560833265,11.750222095877195,16.80551642235609,21.47241916283196,25.827701158645343,29.92587037464945,33.80506885521034,37.492043996180506,41.00569501561303,44.35875870934925,47.5608196603214,50.61820049815735,53.53571783529182,56.317771830240325
Black forest,19.682193141067298,34.20223201004172,45.03751978292027,53.24221536774184,59.563729094061344,64.53002282565318,68.51297055558095,71.77471064535894,74.50083243626486,76.82253527815627,78.83243330910018,80.59821249067662,82.16804450413926,83.57725403779055
Mayrhofen,26.337907481393575,45.00309440261846,58.266626914171226,67.73870807935981,74.55277914415863,79.50295022026633,83.14353464653063,85.86132852155974,87.92572318918225,89.52445531390545,90.788797440353,91.81019506773809,92.65287843362557,93.36197031772079
Bozen,29.250747850179476,49.72046225158686,64.03321695319252,74.04556992133234,81.06144717068508,85.99212885453221,89.47247391838863,91.94368784952682,93.71212750045026,94.99015952200513,95.92517380187486,96.61926594682348,97.14337721329944,97.5467805796528
Castellane,12.311460389926934,22.139899517344187,30.137808572918996,36.77631161175094,42.39404814868487,47.23636725937471,51.4766357235922,55.24234616707888,58.62490935966631,61.69122679950997,64.49053833042939,67.06021625774926,69.42881704751855,71.61869874977859
