city,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Munich,91.91194224819755,94.81699483671223,96.68016120730236,97.87409172809205,98.63899024334133,99.12914442211941,99.44343810683598,99.6451590598362,99.7747791776202,99.85816743635894,99.91185365220744,99.94639889935571,99.96854909837893,99.98261187577387
Zurich,49.33750125750067,66.71865692436798,77.96318313059182,85.25411353493023,90.00033921070737,93.10824910064412,95.1599096854957,96.52885161565001,97.45481839572949,98.0917801461354,98.53880147492067,98.85974550418413,99.09594029253525,99.27425112936817
Montpellier,26.624429329842076,45.46632905369481,58.83240232348357,68.35720412548922,75.19080852293008,80.13876532516535,83.7634364289764,86.45694546737779,88.49227086745081,90.05963426033202,91.2915972178564,92.28087690914101,93.09225803805207,93.77142587227026
Barcelona,91.41316899446093,94.49532487651805,96.4723084057732,97.73938050590884,98.5513226608729,99.07179060715995,99.40567472071639,99.62010946314291,99.75802903686179,99.84687834776628,99.90419633293929,99.94119050975074,99.96502152891779,99.98026344361408
Lyon,29.86441413031059,50.71312584523532,65.24534080441472,75.36991242629156,82.42685738876926,87.35231826228468,90.798015135089,93.21664452363436,94.92222692493463,96.13235232907458,96.99770379223047,97.62271586277016,98.07965444114954,98.41862772341597
Geneva,30.474626022917654,51.700568472878594,66.45137233151071,76.68768838314196,83.78545186814296,88.70542967383399,92.11619860621909,94.48190683471847,96.12426621975554,97.26602455946316,98.06129235931556,98.61666003418888,99.00580510932873,99.27967362878248
Colmar,22.755071236747078,40.30002978187734,53.79644903940599,64.16096015621994,72.11006120848697,78.20365617584666,82.87222093582884,86.44978030527749,89.1929556025747,91.2974200888858,92.91440441451499,94.15904315948498,95.11905905673905,95.8622031675281
Avignon,20.938148549856407,36.24311135030345,47.54105661958219,55.98945946358691,62.408569312350735,67.37576042141427,71.2975051397461,74.45954005345682,77.0630421329905,79.24967334903111,81.12025311210871,82.74608992929579,84.17877420547357,85.45550618572412
Ceret,9.648166287437263,17.33428689039377,23.48578074303095,28.448477548676166,32.490076423391315,35.82245851549742,38.599904189491795,40.957303423172235,42.988768948823584,44.76359130976476,46.34007465755794,47.76387156760913,49.07366800450893,50.291694505064854
Mende,6.393732119374823,12.097993172755423,17.270184709422264,22.02724656414705,26.45128322013261,30.601039350291583,34.51800562228119,38.23109117888253,41.76134874002842,45.122856307339134,48.326614803461894,51.379879559678606,54.28844711753612,57.05749458511718
Titisee-Neustadt,19.284250970775275,34.243559612002834,45.84121949937857,54.82986608464956,61.806708384497796,67.2383810207722,71.4775779189469,74.802034125423,77.42254978204369,79.5045612536032,81.1747508349779,82.52636532983499,83.63661856844347,84.55820299922803
Mayrhofen,22.079629810919226,39.12343711727615,52.25154798525,62.34970572840447,70.11242275096409,76.0794049900164,80.66676518708358,84.19740923332036,86.91911933378165,89.02139285055918,90.65070269223561,91.91853087205934,92.90908913688656,93.68868541499295
Bozen,22.960187186969694,40.65837398225891,54.26692772564401,64.71185454227479,72.71829324923146,78.84980502532481,83.54332202269288,87.1353656118158,89.88472444032212,91.99005756356411,93.60310193478226,94.8404649560776,95.79127859382794,96.52311837143415
Digne,13.943622397596794,24.894681203226938,33.51211305342976,40.32392965726413,45.736131115869014,50.06837378945536,53.566865283838375,56.420929848075495,58.778460386900434,60.755864315225715,62.437675668548465,63.89320274802098,65.16997663574668,66.30966389560952
Girona,23.293757901359704,41.23995127382711,55.03031764711095,65.60616656019288,73.70452116885004,79.89863513239014,84.63223511429499,88.24737561542382,91.00710917829126,93.11315898610157,94.72006405723498,95.94606039276253,96.88144066976207,97.59517718770037
Rodez,83.44240979470914,70.02283366629653,59.16991303845417,50.39609186028845,43.305835203147154,37.588204662243506,32.95708294436418,29.2177584717649,26.186250337955435,23.718573669581595,21.725081712061208,20.083042854657087,18.738929804593717,17.633324694388346
Chamonix,11.964928207697627,21.417664061996984,28.90872702851699,34.880693647515336,39.67714466407193,43.56639766354827,46.75433817517838,49.39687653013785,51.62608887040234,53.525681924127475,55.17560447813927,56.63771285879432,57.9424488303527,59.130257550291574
